SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,DJI,,,,,,Djibouti,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39997312,0.405080166,0.410187212,0.415294258,0.420401304,0.42550835,0.430615396,0.435722442,0.440829488,0.445936534,0.45104358,0.44117805,0.4348478525,0.428517655,0.4221874575,0.41585726,,,,,,
,DOM,,,,,,Dominican Republic,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.47780794,0.48669906,0.49559018,0.5044813,0.5064970666666667,0.5085128333333333,0.5105286,0.5014433375,0.492358075,0.4832728125,0.47418755,0.48901546,0.49772244,0.50642942,0.5151364,0.49998924,0.49671522,0.5211965,0.52049935,0.499648,0.51961064,0.48855126,0.48107398,0.48875645,0.47325817,0.47706884,0.46133503,0.47656393,0.442794,0.4518094,0.45722562,0.42192984,0.436861,0.41917086,0.39628294,0.38529298,0.36979377,
,TLS,,,,,,East Timor,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35935292,0.3458329616666666,0.3323130033333333,0.318793045,0.3052730866666666,0.2917531283333333,0.27823317,0.2794183271428571,0.2806034842857142,0.2817886414285714,0.2829737985714285,0.2841589557142857,0.2853441128571428,0.28652927,,,,,,,,,
,ECU,,,,,,Ecuador,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5333033,0.5437841,0.5542649000000001,0.5647457,0.5752265000000001,0.5857073,0.5629919,0.5537074666666667,0.5444230333333333,0.5351386,0.53889215,0.53049964,0.5224719,0.53354627,0.49787596,0.48498443,0.48799783,0.45871222,0.46109366,0.46862358,0.4499254,0.459508,0.4501621,0.44669914,0.45437902,0.45709932,0.47309554,0.45797464,0.45465034,0.44579506
,,,,,,,Ecuador (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.5048004,0.50523423,0.5056680600000001,0.50610189,0.50653572,0.50696955,0.50740338,0.50783721,0.50827104,0.5041949266666667,0.5001188133333333,0.4960427,,,,,,,,,,,,,,,,,,,,,,,,,
,EGY,,,,,,Egypt,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3200394,0.3161971999999999,0.312355,0.3085128,0.3046706,0.3008284,0.3027084125,0.304588425,0.3064684374999999,0.30834845,0.310373852,0.312399254,0.3144246559999999,0.316450058,0.31847546,0.3166126875,0.314749915,0.3128871425,0.31102437,0.30646947,0.30191457,0.2924183,0.28292203,0.2946925466666666,0.3064630633333333,0.31823358,0.31678656,0.31533954,0.31713523,0.31893092,,,,
,SLV,,,,,,El Salvador,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48715472,0.512545585,0.53793645,0.5280727525,0.518209055,0.5083453575,0.49848166,0.5095812,0.52668312,0.54378504,0.5208074,0.5146378,0.5134745,0.518517,0.5043636,0.47799078,0.48472306,0.4568936,0.45217508,0.46885607,0.4582485,0.43513292,0.4231799,0.41828847,0.43358666,0.41559452,0.4055182,0.39978546,0.38007155,0.38610572,0.38778764,0.388947545,0.39010745,0.38753173,
,EST,,,,,,Estonia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39427334,0.392041188,0.389809036,0.387576884,0.385344732,0.38311258,0.380880428,0.378648276,0.376416124,0.374183972,0.37195182,0.33559534,0.3344686,0.33667818,0.31178468,0.31915063,0.3144271,0.31999895,0.3248852,0.329136,0.35075676,0.3458795,0.3266799,0.3119477,0.30354318,0.3032016,0.30765438,0.30737108,0.31834,,
,SWZ,,,,,,Eswatini,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5863356,0.5771355333333333,0.5679354666666666,0.5587354,0.5495353333333334,0.5403352666666666,0.5311352,0.5292770111111111,0.5274188222222222,0.5255606333333334,0.5237024444444445,0.5218442555555556,0.5199860666666667,0.5181278777777778,0.5162696888888889,0.5144115,0.5188952771428572,0.5233790542857143,0.5278628314285715,0.5323466085714286,0.5368303857142858,0.5413141628571428,0.54579794,,,,,,,
,ETH,,,,,,Ethiopia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44562823,0.409160655,0.37269308,0.336225505,0.29975793,0.299420048,0.299082166,0.298744284,0.298406402,0.29806852,0.30367477,0.30928102,0.31488727,0.32049352,0.32609977,0.33170602,0.335351064,0.3389961079999999,0.342641152,0.346286196,0.34993124,,,,,,,,
,,,,,,,Ethiopia (rural),,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.30980363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FJI,,,,,,Fiji,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38102055,0.38480977,0.38859899,0.39238821,0.39617743,0.39996665,0.40375587,0.396397892,0.389039914,0.381681936,0.374323958,0.36696598,0.3569830966666666,0.3470002133333333,0.33701733,0.3270344466666666,0.3170515633333333,0.30706868,,,,
,FIN,,,,,,Finland,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.22171399,0.223484895,0.2252558,0.227026705,0.22879761,0.2302460475,0.231694485,0.2331429225,0.23459136,0.241986342,0.249381324,0.256776306,0.264171288,0.27156627,0.2733322666666666,0.2750982633333333,0.27686426,0.27897653,0.27619493,0.27998725,0.28285563,0.27838135,0.27455276,0.2771396,0.27642646,0.27096376,0.27193668,0.26776803,0.2710181,0.27078423,0.2738283,0.27329567,0.27737123,0.27091044,0.27708507,,
,FRA,,,,,,France,,Gini coefficient,,,,,,,,,0.37145555,0.369000984,0.366546418,0.364091852,0.361637286,0.35918272,0.354493585,0.34980445,0.345115315,0.34042618,0.339137188,0.337848196,0.336559204,0.335270212,0.33398122,0.331849455,0.32971769,0.327585925,0.32545416,0.323322395,0.32119063,0.3210198166666667,0.3208490033333333,0.32067819,0.3205073766666667,0.3203365633333334,0.32016575,0.3190015,0.31657764,0.32499772,0.32553056,0.3253329,0.31778157,0.31411052,0.30647254,0.29833862,0.29691088,0.32427707,0.32996443,0.3266122,0.33720416,0.3329475,0.3311486,0.32512552,0.32262158,0.32704228,0.31923512,0.3163205,0.32380664,0.31199563,0.3066147,0.31500953,,
,GAB,,,,,,Gabon,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42184988,0.4183827,0.41491552,0.41144834,0.40798116,0.40451398,0.4010468,0.39757962,0.39411244,0.39064526,0.38717808,0.3837109,0.38024372,,,,,,
,GMB,,,,,,Gambia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48250192,0.480618604,0.478735288,0.476851972,0.474968656,0.47308534,0.4677420014285714,0.4623986628571429,0.4570553242857142,0.4517119857142857,0.4463686471428571,0.4410253085714285,0.43568197,0.42038324,0.40508451,0.3897857799999999,0.37448705,0.35918832,0.364865066,0.370541812,0.376218558,0.381895304,0.38757205,,,
,GEO,,,,,,Georgia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37132707,0.40682536,0.4123018,0.40128374,0.4045976,0.39557204,0.3724613,0.36650413,0.3616882,0.37375313,0.36865547,0.38108635,0.38532716,0.38234815,0.394587,0.3959351,0.38953948,0.38588807,0.37554133,0.36503676,0.3663965,0.37939596,0.36411363,0.35900706,0.3446499,0.3417846,0.3350009,
,DEU,,,,,,Germany,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29492873,0.2907326,0.28612086,0.29159415,0.28811273,0.27993777,0.28246725,0.2827037,0.29047978,0.2888814,0.29949388,0.29810533,0.2980293,0.30192587,0.31704092,0.3104196,0.3117709,0.30800265,0.30479428,0.30218413,0.30610505,0.3105579,0.31453598,0.30847794,0.31653914,0.3141309,0.31314865,0.31872115,0.31780925,0.3243345,,,
,GHA,,,,,,Ghana,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.35349578,0.3599354,0.36807214,0.37620888,0.38434562,0.3866837171428571,0.3890218142857143,0.3913599114285714,0.3936980085714285,0.3960361057142857,0.3983742028571428,0.4007123,0.4045539057142857,0.4083955114285714,0.4122371171428571,0.4160787228571428,0.4199203285714286,0.4237619342857143,0.42760354,0.4270490428571428,0.4264945457142857,0.4259400485714286,0.4253855514285714,0.4248310542857142,0.4242765571428571,0.42372206,0.4265726525,0.429423245,0.4322738375,0.43512443,,,,,,,
,GRC,,,,,,Greece,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3696663,0.36420691,0.35874752,0.35328813,0.34782874,0.34236935,0.33744389,0.33251843,0.32759297,0.33588123,0.34596738,0.35121885,0.33950907,0.33587772,0.33615103,0.3409893,0.3484217,0.362504,0.36127293,0.35804707,0.35996962,0.34956136,0.34350377,0.32890075,0.33101925,0.33558196,0.32939574,,
,GRD,,,,,,Grenada,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4381641,,,,,
,GTM,,,,,,Guatemala,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.5413272,0.5568777333333333,0.5724282666666667,0.5879788,0.5775340444444444,0.5670892888888889,0.5566445333333334,0.5461997777777778,0.5357550222222223,0.5253102666666667,0.5148655111111111,0.5044207555555555,0.493976,0.517854065,0.54173213,0.5423908816666667,0.5430496333333333,0.543708385,0.5443671366666667,0.5450258883333334,0.54568464,0.5378193225000001,0.529954005,0.5220886875,0.5142233700000001,0.5063580525,0.498492735,0.4906274175,0.4827621,,,,,,,,,
,GIN,,,,,,Guinea,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4446398,0.4500317066666666,0.4554236133333333,0.46081552,0.456964445,0.4531133699999999,0.449262295,0.44541122,0.441560145,0.43770907,0.433857995,0.43000692,0.42271623,0.41542554,0.40813485,0.40084416,0.39355347,0.382302186,0.371050902,0.359799618,0.348548334,0.33729705,0.3304007983333333,0.3235045466666666,0.316608295,0.3097120433333333,0.3028157916666666,0.29591954,,,,,
,GNB,,,,,,Guinea-Bissau,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557557,0.496825835,0.43609467,0.4271606955555556,0.4182267211111111,0.4092927466666666,0.4003587722222222,0.3914247977777778,0.3824908233333333,0.3735568488888888,0.3646228744444444,0.3556889,0.3744828812499999,0.3932768625,0.41207084375,0.430864825,0.44965880625,0.4684527875,0.48724676875,0.50604075,0.48624219625,0.4664436425,0.44664508875,0.426846535,0.40704798125,0.3872494275,0.36745087375,0.34765232,0.34321844,0.33878456,0.33435068,,
,GUY,,,,,,Guyana,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3946759,0.40396224,0.41324858,0.42253492,0.43182126,0.4411076,0.45039394,,,,,,,,,,,,,,,,,,,,,,,,,
,HTI,,,,,,Haiti,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5898769,0.5912048090909091,0.5925327181818182,0.5938606272727273,0.5951885363636363,0.5965164454545454,0.5978443545454546,0.5991722636363637,0.6005001727272727,0.6018280818181818,0.6031559909090909,0.6044839,,,,,,,,,,,
,HND,,,,,,Honduras,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5536728,0.5592856,0.5182139,0.51805204,0.5344585,0.54992497,0.554708,0.5569839,0.5272781,0.5729382,0.55219996,0.55286073,0.5535215,0.5571017,0.580804,0.58094627,0.5947935,0.57526565,0.5581602,0.55489975,0.5128177,0.53085744,0.5255424,0.53365433,0.49958706,0.4987544,0.4924883,0.49810323,0.49441433,0.48936284,0.48162824,,,,
,,,,,,,Honduras (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.5509298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUN,,,,,,Hungary,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.20883092,0.22965436,0.2504778,0.273358185,0.29623857,0.2878108,0.27938303,0.33285955,0.326727328,0.320595106,0.314462884,0.308330662,0.30219844,0.301487476,0.300776512,0.300065548,0.299354584,0.29864362,0.34721088,0.28296095,0.2788186,0.27514026,0.2695929,0.2944413,0.29157948,0.3080265,0.31504104,0.3091348,0.30407295,0.30324444,0.30582693,0.2961145,0.29950473,0.29711774,0.2917205,,
,ISL,,,,,,Iceland,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26836038,0.27981848,0.29002446,0.30245006,0.29470885,0.3178928,0.2865624,0.26171294,0.26830265,0.26769423,0.25402915,0.27800417,0.26787972,0.27241105,0.2613158,,,,,,
,IND,,,,,,India,,Gini coefficient,,,,,,,,,,,,,,,,0.3321363,0.3301277283333333,0.3281191566666667,0.326110585,0.3241020133333333,0.3220934416666667,0.32008487,0.32120984,0.3223348099999999,0.32345978,0.32458475,0.3230791716666666,0.3215735933333333,0.320068015,0.3185624366666666,0.3170568583333333,0.31555128,0.3177819818181818,0.3200126836363636,0.3222433854545454,0.3244740872727272,0.326704789090909,0.3289354909090909,0.3311661927272727,0.3333968945454545,0.3356275963636363,0.3378582981818182,0.340089,0.341849232,0.343609464,0.345369696,0.347129928,0.34889016,0.35144038,0.3539906,0.352213675,0.3504367499999999,0.348659825,0.3468829,0.34746763,0.3590051,0.34550628,0.33812764,0.33778515,0.3277978,,
,,,,,,,India (rural),,Gini coefficient,,,,,,,,,,,,,,,,0.30961025,0.3081074416666666,0.3066046333333333,0.305101825,0.3035990166666666,0.3020962083333333,0.3005934,0.30073763,0.30088186,0.30102609,0.30117032,0.2986162566666667,0.2960621933333333,0.29350813,0.2909540666666667,0.2884000033333334,0.28584594,0.2875442518181818,0.2892425636363636,0.2909408754545455,0.2926391872727273,0.2943374990909091,0.2960358109090909,0.2977341227272727,0.2994324345454545,0.3011307463636364,0.3028290581818182,0.30452737,0.303522288,0.302517206,0.301512124,0.300507042,0.29950196,0.3053885699999999,0.31127518,0.311615895,0.3119566099999999,0.312297325,0.31263804,0.3101153,0.31273174,0.31053287,0.31054986,0.3124293,0.29604727,,
,,,,,,,India (urban),,Gini coefficient,,,,,,,,,,,,,,,,0.3574154,0.353390955,0.34936651,0.345342065,0.34131762,0.337293175,0.33326873,0.3388748075,0.344480885,0.3500869625,0.35569304,0.3537140916666667,0.3517351433333333,0.349756195,0.3477772466666667,0.3457982983333333,0.34381935,0.34677635,0.34973335,0.35269035,0.35564735,0.35860435,0.36156135,0.36451835,0.36747535,0.37043235,0.37338935,0.37634635,0.37977301,0.38319967,0.38662633,0.39005299,0.39347965,0.391811875,0.3901441,0.3873077175,0.3844713349999999,0.3816349525,0.37879857,0.38292566,0.39578882,0.36215815,0.3628346,0.36235926,0.35517648,,
,IDN,,,,,,Indonesia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,0.32302415,0.3167230766666666,0.3104220033333333,0.30412093,0.30631153,0.30850213,0.31069273,0.3129784966666666,0.3152642633333333,0.31755003,0.3257460866666666,0.3339421433333333,0.3421382,0.32533869,0.30853918,0.30788496,0.30306277,0.31165913,0.30163765,0.29323187,0.30416507,0.2990362,0.31524122,0.33231717,0.3263291,0.33432707,0.3458631,0.37925914,0.3714888,0.38926852,0.3877997,0.38207534,0.368857,0.3636789,0.36338645,0.35359862,0.35335615,0.35504764,0.3551203,0.3605703
,IRN,,,,,,Iran,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.4741963,0.464659165,0.45512203,0.445584895,0.43604776,0.43453174,0.43301572,0.4314997,0.42998368,0.43272686,0.43547004,0.43821322,0.4409564,0.44018926,0.43942212,0.43865498,0.43788784,0.4371207,0.43635356,0.43558642,0.44752038,0.43851367,0.42950696,0.42050025,0.383560105,0.34661996,0.3442554,0.3396952,0.34814033,0.35264048,0.35912308,0.36693677,0.37419906,0.36482257,0.3584295,0.3546873,0.34803438,
,IRQ,,,,,,Iraq,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28600612,0.28757486,0.2891436,0.29071234,0.2922810799999999,0.29384982,0.29541856,,,,,,,,,,,
,IRL,,,,,,Ireland,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.35466203,0.3567306057142857,0.3587991814285714,0.3608677571428571,0.3629363328571429,0.3650049085714286,0.3670734842857143,0.36914206,0.3704509,0.35622135,0.349679025,0.3431366999999999,0.336594375,0.33005205,0.326477305,0.32290256,0.32887438,0.33609548,0.33753955,0.327276,0.31946594,0.3090567,0.32680362,0.32295024,0.32872406,0.33220077,0.3348598,0.31874627,0.31820488,0.32807183,0.31358823,0.30602926,0.308315,0.292282,0.30119276,,
,ISR,,,,,,Israel,,Gini coefficient,,,,,,,,,,,,,,,,,,0.36329976,0.3635291371428572,0.3637585142857143,0.3639878914285714,0.3642172685714285,0.3644466457142857,0.3646760228571428,0.3649054,0.3632665933333333,0.3616277866666667,0.35998898,0.3583501733333333,0.3567113666666666,0.35507256,0.360252262,0.365431964,0.370611666,0.375791368,0.38097107,0.38309746,0.38522385,0.38735024,0.38947663,0.39559424,0.4072257,0.414563,0.42267624,0.4155532,0.41098633,0.4164268,0.4263395,0.42559466,0.41444165,0.41302204,0.39870527,0.3975749,0.3971953,0.39013016,0.38202065,0.38577175,0.3828222,0.37773558,0.3789385,,
,ITA,,,,,,Italy,,Gini coefficient,,,,,,,,,,,,,,,,0.34006613,0.33277234,0.3326154,0.32899266,0.3157181,0.2923156,0.29767215,0.31334364,0.31248593,0.31162822,0.3417943,0.3314278499999999,0.3210614,0.31578034,0.31049928,0.330681325,0.35086337,0.351485785,0.3521082,0.3569131533333333,0.3617181066666666,0.36652306,0.35948539,0.35244772,0.349702195,0.34695667,0.349287,0.3429304,0.33830953,0.3369475,0.32888263,0.3376773,0.3383298,0.3471675,0.35052994,0.3515148,0.3490567,0.34652385,0.35390034,0.35239598,0.35922197,0.35217315,0.34583586,0.352409,0.3484458,,
,JAM,,,,,,Jamaica,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4315501,0.42134372,0.41113734,0.3930029666666667,0.3748685933333333,0.35673422,0.3724724866666666,0.3882107533333333,0.40394902,0.4162285466666666,0.4285080733333333,0.4407876,0.4549108666666667,0.4690341333333333,0.4831574,0.468866065,0.45457473,0.4475613064285714,0.4405478828571428,0.4335344592857142,0.4265210357142857,0.4195076121428571,0.4124941885714285,0.4054807649999999,0.3984673414285714,0.3914539178571428,0.3844404942857142,0.3774270707142857,0.3704136471428571,0.3634002235714286,0.3563868,0.3716254333333333,0.3868640666666667,0.4021027,,
,JPN,,,,,,Japan,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34842315,0.334713175,0.3210032,0.3235178999999999,0.3260326,0.3285473,,,,,,,,,,
,JOR,,,,,,Jordan,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.3606143,0.3723445533333333,0.3840748066666666,0.39580506,0.4075353133333333,0.4192655666666666,0.43099582,0.41763771,0.4042796,0.39092149,0.37756338,0.36420527,0.365273452,0.366341634,0.367409816,0.368477998,0.36954618,0.3618002725,0.354054365,0.3463084575,0.33856255,0.332148525,0.3257345,0.3311459,0.3365573,,,,,,,,,,,,,
,KAZ,,,,,,Kazakhstan,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32665735,0.3356992566666666,0.3447411633333333,0.35378307,0.354955396,0.356127722,0.357300048,0.358472374,0.3596447,0.34811127,0.33691478,0.3183876,0.39825976,0.30243865,0.30084056,0.28496444,0.28208867,0.27954513,0.27983844,0.2816882,0.2706543,0.2701586,0.26803666,0.27225325,0.27450275,0.27792874,0.27968282,0.2868392,0.29191533,,
,KEN,,,,,,Kenya,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56925327,0.50014341,0.43103355,0.4372978899999999,0.44356223,0.44982657,0.45164844125,0.4534703125,0.4552921837499999,0.457114055,0.45893592625,0.4607577975,0.46257966875,0.46440154,0.458735846,0.453070152,0.447404458,0.441738764,0.43607307,0.430407376,0.424741682,0.419075988,0.413410294,0.4077446,0.398688596,0.389632592,0.380576588,0.371520584,0.36246458,0.3870143,,
,KIR,,,,,,Kiribati,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36973003,0.3626990292307692,0.3556680284615384,0.3486370276923077,0.3416060269230769,0.3345750261538461,0.3275440253846153,0.3205130246153846,0.3134820238461538,0.306451023076923,0.2994200223076922,0.2923890215384615,0.2853580207692308,0.27832702,,,,
